Unidade da Federação;2011;2012;2013;2014;2015;2016;2017;2018;2019;Total;Populacao Masc;casos100k
11 Rondônia;1.0;5.0;2.0;2.0;1.0;1.0;9.0;7.0;4.0;32.0;793224.0;0.4482
12 Acre;2.0;3.0;2.0;1.0;1.0;2.0;2.0;2.0;3.0;18.0;367864.0;0.5437
13 Amazonas;6.0;7.0;7.0;6.0;9.0;14.0;8.0;6.0;6.0;69.0;1751328.0;0.4378
14 Roraima;0.0;0.0;0.0;2.0;1.0;0.0;2.0;1.0;2.0;8.0;229343.0;0.3876
15 Pará;12.0;16.0;20.0;24.0;27.0;27.0;23.0;23.0;22.0;194.0;3825245.0;0.5635
16 Amapá;1.0;1.0;0.0;2.0;0.0;2.0;2.0;2.0;0.0;10.0;334674.0;0.332
17 Tocantins;10.0;4.0;6.0;7.0;4.0;4.0;6.0;3.0;3.0;47.0;702451.0;0.7434
21 Maranhão;19.0;23.0;28.0;30.0;15.0;25.0;31.0;19.0;29.0;219.0;3258860.0;0.7467
22 Piauí;16.0;8.0;13.0;10.0;11.0;11.0;16.0;10.0;8.0;103.0;1528796.0;0.7486
23 Ceará;18.0;20.0;10.0;14.0;9.0;17.0;18.0;26.0;16.0;148.0;4118066.0;0.3993
24 Rio Grande do Norte;4.0;10.0;6.0;10.0;7.0;6.0;3.0;15.0;7.0;68.0;1548731.0;0.4879
25 Paraíba;5.0;8.0;6.0;9.0;10.0;10.0;9.0;8.0;9.0;74.0;1824495.0;0.4507
26 Pernambuco;16.0;22.0;23.0;21.0;19.0;21.0;17.0;28.0;26.0;193.0;4229897.0;0.507
27 Alagoas;7.0;7.0;9.0;6.0;10.0;4.0;8.0;8.0;7.0;66.0;1577947.0;0.4647
28 Sergipe;7.0;4.0;9.0;8.0;7.0;2.0;11.0;5.0;8.0;61.0;1005049.0;0.6744
29 Bahia;27.0;33.0;31.0;26.0;32.0;41.0;41.0;44.0;55.0;330.0;6880368.0;0.5329
31 Minas Gerais;28.0;42.0;53.0;41.0;43.0;43.0;41.0;37.0;35.0;363.0;9640695.0;0.4184
32 Espírito Santo;4.0;9.0;11.0;3.0;8.0;10.0;13.0;9.0;12.0;79.0;1729670.0;0.5075
33 Rio de Janeiro;27.0;30.0;31.0;23.0;30.0;23.0;27.0;32.0;33.0;256.0;7626720.0;0.373
35 São Paulo;57.0;50.0;54.0;60.0;60.0;63.0;63.0;71.0;78.0;556.0;20071766.0;0.3078
41 Paraná;14.0;13.0;23.0;13.0;21.0;23.0;23.0;19.0;21.0;170.0;5128503.0;0.3683
42 Santa Catarina;5.0;7.0;6.0;7.0;13.0;10.0;11.0;11.0;20.0;90.0;3101087.0;0.3225
43 Rio Grande do Sul;16.0;16.0;21.0;30.0;22.0;21.0;23.0;27.0;22.0;198.0;5205705.0;0.4226
50 Mato Grosso do Sul;8.0;5.0;8.0;7.0;14.0;7.0;4.0;6.0;5.0;64.0;1220175.0;0.5828
51 Mato Grosso;5.0;7.0;4.0;6.0;4.0;4.0;13.0;6.0;8.0;57.0;1848894.0;0.3425
52 Goiás;9.0;21.0;10.0;18.0;17.0;14.0;16.0;21.0;11.0;137.0;2981542.0;0.5105
53 Distrito Federal;4.0;2.0;3.0;2.0;7.0;3.0;4.0;8.0;8.0;41.0;1225237.0;0.3718
Total;328.0;373.0;396.0;388.0;402.0;408.0;444.0;454.0;458.0;3651.0;93756332.0;0.4327
 ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
